"parliament_id","snapshot_day","pers_id","parliament_size"
"NL_NT-TK_1913",1913-09-17,"NL_Goeman_Hendrik_1847",100
"NL_NT-TK_1913",1913-09-17,"NL_graafvanBylandt_Frederik_1841",100
"NL_NT-TK_1913",1913-09-17,"NL_Heeres_Jan_1858",100
"NL_NT-TK_1913",1913-09-17,"NL_Helsdingen_Willem_1850",100
"NL_NT-TK_1913",1913-09-17,"NL_Hubrecht_Henri_1844",100
"NL_NT-TK_1913",1913-09-17,"NL_Hugenholtz_Frederik_1868",100
"NL_NT-TK_1913",1913-09-17,"NL_Jannink_Gerrit_1865",100
"NL_NT-TK_1913",1913-09-17,"NL_Jansen_Joannes_1840",100
"NL_NT-TK_1913",1913-09-17,"NL_Janssen_Francois_1871",100
"NL_NT-TK_1913",1913-09-17,"NL_Juten_Wilhelmus_1868",100
"NL_NT-TK_1913",1913-09-17,"NL_Ketelaar_Theo_1864",100
"NL_NT-TK_1913",1913-09-17,"NL_Kleerekoper_Asser_1880",100
"NL_NT-TK_1913",1913-09-17,"NL_Knobel_Fridolin_1857",100
"NL_NT-TK_1913",1913-09-17,"NL_Koolen_Dionysius_1871",100
"NL_NT-TK_1913",1913-09-17,"NL_Lasonder_Johan_1869",100
"NL_NT-TK_1913",1913-09-17,"NL_Lieftinck_Franciscus_1835",100
"NL_NT-TK_1913",1913-09-17,"NL_Limburg_Joseph_1866",100
"NL_NT-TK_1913",1913-09-17,"NL_Loeff_Jan_1858",100
"NL_NT-TK_1913",1913-09-17,"NL_Marchant_Henri_1869",100
"NL_NT-TK_1913",1913-09-17,"NL_Mendels_Maup_1868",100
"NL_NT-TK_1913",1913-09-17,"NL_Nierstrasz_Boudewijn_1861",100
"NL_NT-TK_1913",1913-09-17,"NL_Nolens_Wilhelmus_1860",100
"NL_NT-TK_1913",1913-09-17,"NL_Oosterbaan_Nicolaas_1863",100
"NL_NT-TK_1913",1913-09-17,"NL_Patijn_Rudolf_1863",100
"NL_NT-TK_1913",1913-09-17,"NL_Polak_Henri_1868",100
"NL_NT-TK_1913",1913-09-17,"NL_Rink_Pieter_1851",100
