sep=,
"parliament_id","leg_period_start","leg_period_end","level","country_abb","region_abb","leg_period","assembly_name","assembly_abb","coalition_parties","previous_parliament","next_parliament","parliament_size","election_date","election_type"
"US_NT-HR_1919","04mar1919","03mar1921","NT","US",NA,66,"House of Representatives","HR",NA,"US_NT-HR_1917","US_NT-HR_1921",435,"05nov1918","regular"
"US_NT-SE_1919","04mar1919","03mar1921","NT","US",NA,66,"Senate","SE",NA,"US_NT-SE_1917","US_NT-SE_1921",96,"05nov1918","regular"
"US_NT-HR_1921","04mar1921","03mar1923","NT","US",NA,67,"House of Representatives","HR",NA,"US_NT-HR_1919","US_NT-HR_1923",435,"02nov1920","regular"
"US_NT-SE_1921","04mar1921","03mar1923","NT","US",NA,67,"Senate","SE",NA,"US_NT-SE_1919","US_NT-SE_1923",96,"02nov1920","regular"
"US_NT-HR_1923","04mar1923","03mar1925","NT","US",NA,68,"House of Representatives","HR",NA,"US_NT-HR_1921","US_NT-HR_1925",435,"07nov1922","regular"
"US_NT-SE_1923","04mar1923","03mar1925","NT","US",NA,68,"Senate","SE",NA,"US_NT-SE_1921","US_NT-SE_1925",96,"07nov1922","regular"
"US_NT-HR_1925","04mar1925","03mar1927","NT","US",NA,69,"House of Representatives","HR",NA,"US_NT-HR_1923","US_NT-HR_1927",435,"04nov1924","regular"
"US_NT-SE_1925","04mar1925","03mar1927","NT","US",NA,69,"Senate","SE",NA,"US_NT-SE_1923","US_NT-SE_1927",96,"04nov1924","regular"
"US_NT-HR_1927","04mar1927","03mar1929","NT","US",NA,70,"House of Representatives","HR",NA,"US_NT-HR_1925","US_NT-HR_1929",435,"02nov1926","regular"
"US_NT-SE_1927","04mar1927","03mar1929","NT","US",NA,70,"Senate","SE",NA,"US_NT-SE_1925","US_NT-SE_1929",96,"02nov1926","regular"
"US_NT-HR_1929","04mar1929","03mar1931","NT","US",NA,71,"House of Representatives","HR",NA,"US_NT-HR_1927","US_NT-HR_1931",435,"06nov1928","regular"
"US_NT-SE_1929","04mar1929","03mar1931","NT","US",NA,71,"Senate","SE",NA,"US_NT-SE_1927","US_NT-SE_1931",96,"06nov1928","regular"
"US_NT-HR_1931","04mar1931","03mar1933","NT","US",NA,72,"House of Representatives","HR",NA,"US_NT-HR_1929","US_NT-HR_1933",435,"04nov1930","regular"
"US_NT-SE_1931","04mar1931","03mar1933","NT","US",NA,72,"Senate","SE",NA,"US_NT-SE_1929","US_NT-SE_1933",96,"04nov1930","regular"
"US_NT-HR_1933","04mar1933","03mar1935","NT","US",NA,73,"House of Representatives","HR",NA,"US_NT-HR_1931","US_NT-HR_1935",435,"08nov1932","regular"
"US_NT-SE_1933","04mar1933","03mar1935","NT","US",NA,73,"Senate","SE",NA,"US_NT-SE_1931","US_NT-SE_1935",96,"08nov1932","regular"
"US_NT-HR_1935","03jan1935","03jan1937","NT","US",NA,74,"House of Representatives","HR",NA,"US_NT-HR_1933","US_NT-HR_1937",435,"06nov1934","regular"
"US_NT-SE_1935","03jan1935","03jan1937","NT","US",NA,74,"Senate","SE",NA,"US_NT-SE_1933","US_NT-SE_1937",96,"06nov1934","regular"
"US_NT-HR_1937","03jan1937","03jan1939","NT","US",NA,75,"House of Representatives","HR",NA,"US_NT-HR_1935","US_NT-HR_1939",435,"03nov1936","regular"
"US_NT-SE_1937","03jan1937","03jan1939","NT","US",NA,75,"Senate","SE",NA,"US_NT-SE_1935","US_NT-SE_1939",96,"03nov1936","regular"
"US_NT-HR_1939","03jan1939","03jan1941","NT","US",NA,76,"House of Representatives","HR",NA,"US_NT-HR_1937","US_NT-HR_1941",435,"08nov1938","regular"
"US_NT-SE_1939","03jan1939","03jan1941","NT","US",NA,76,"Senate","SE",NA,"US_NT-SE_1937","US_NT-SE_1941",96,"08nov1938","regular"
"US_NT-HR_1941","03jan1941","03jan1943","NT","US",NA,77,"House of Representatives","HR",NA,"US_NT-HR_1939","US_NT-HR_1943",435,"05nov1940","regular"
"US_NT-SE_1941","03jan1941","03jan1943","NT","US",NA,77,"Senate","SE",NA,"US_NT-SE_1939","US_NT-SE_1943",96,"05nov1940","regular"
"US_NT-HR_1943","03jan1943","03jan1945","NT","US",NA,78,"House of Representatives","HR",NA,"US_NT-HR_1941","US_NT-HR_1945",435,"03nov1942","regular"
"US_NT-SE_1943","03jan1943","03jan1945","NT","US",NA,78,"Senate","SE",NA,"US_NT-SE_1941","US_NT-SE_1945",96,"03nov1942","regular"
"US_NT-HR_1945","03jan1945","03jan1947","NT","US",NA,79,"House of Representatives","HR",NA,"US_NT-HR_1943","US_NT-HR_1947",435,"07nov1944","regular"
"US_NT-SE_1945","03jan1945","03jan1947","NT","US",NA,79,"Senate","SE",NA,"US_NT-SE_1943","US_NT-SE_1947",96,"07nov1944","regular"
"US_NT-HR_1947","03jan1947","03jan1949","NT","US",NA,80,"House of Representatives","HR",NA,"US_NT-HR_1945","US_NT-HR_1949",435,"05nov1946","regular"
"US_NT-SE_1947","03jan1947","03jan1949","NT","US",NA,80,"Senate","SE",NA,"US_NT-SE_1945","US_NT-SE_1949",96,"05nov1946","regular"
"US_NT-HR_1949","03jan1949","03jan1951","NT","US",NA,81,"House of Representatives","HR",NA,"US_NT-HR_1947","US_NT-HR_1951",435,"02nov1948","regular"
"US_NT-SE_1949","03jan1949","03jan1951","NT","US",NA,81,"Senate","SE",NA,"US_NT-SE_1947","US_NT-SE_1951",96,"02nov1948","regular"
"US_NT-HR_1951","03jan1951","03jan1953","NT","US",NA,82,"House of Representatives","HR",NA,"US_NT-HR_1949","US_NT-HR_1953",435,"07nov1950","regular"
"US_NT-SE_1951","03jan1951","03jan1953","NT","US",NA,82,"Senate","SE",NA,"US_NT-SE_1949","US_NT-SE_1953",96,"07nov1950","regular"
"US_NT-HR_1953","03jan1953","03jan1955","NT","US",NA,83,"House of Representatives","HR",NA,"US_NT-HR_1951","US_NT-HR_1955",435,"04nov1952","regular"
